,Unnamed: 0,Unnamed: 0.1,time,imu_accel_x,imu_accel_y,imu_accel_z,imu_gyro_x,imu_gyro_y,imu_gyro_z,mag_field_x,mag_field_y,mag_field_z,mag_new_data,pos_n,pos_e,pos_d,v_n,v_e,v_d,gnss_new_data,imu_new_data
54,54,54,0.60899925,0.8862029,-0.53833365,-9.747867,0.0152694555,-0.0025936456,-0.015314659,-14.33098,19.456474,43.069134,0,0.4293013201723821,0.3723793376723821,0.0748888076723821,0.0787640772695478,0.0447705392695478,-0.0232196957304521,0,1.0
55,55,55,0.6189995,0.8862029,-0.53833365,-9.747867,-0.0024091064,-0.009594711,-0.018737465,-14.330341,19.520058,43.143295,1,-0.0970674912814036,-0.1542944722814036,-0.4523975022814037,0.1600024672126571,0.1262164902126571,0.0580881502126571,0,0.0
56,56,56,0.70899963,0.8472489,-0.57679135,-9.728273,0.04851498,-0.003215301,-0.007360352,-14.393039,19.520504,43.142212,1,0.1702125521538137,0.1146260841538137,-0.1870893258461862,0.0714399502523349,0.0550821819523349,-0.029118923047665,1,1.0
57,57,57,0.71899986,0.88561326,-0.4632396,-9.766867,0.022919906,-0.011175894,-0.012402254,-14.393039,19.520504,43.142212,0,0.0932409156476115,0.0374629496476115,-0.2652662053523884,-0.0291153930179713,-0.0451836945179713,-0.1297862325179714,0,1.0
58,58,58,0.7290001,0.8862017,-0.4614217,-9.76746,0.014727312,-0.011943341,-0.020178083,-14.300626,19.511066,43.218044,1,-0.2481669671344733,-0.3040924621344734,-0.6075831721344733,-0.0955670785498362,-0.1122849725498362,-0.1969238930498362,0,1.0
59,59,59,0.73899937,0.8862029,-0.46141812,-9.76746,-0.0044633383,-0.016862066,-0.022598835,-14.300626,19.511066,43.218044,0,-0.5020938480061852,-0.5581727710061852,-0.8624254610061852,-0.0361329227815681,-0.0535098057815681,-0.1381747617815681,0,1.0
60,60,60,0.7489996,0.97757715,-0.51557446,-9.767538,-0.03832275,0.005533174,-0.017991502,-14.30171,19.51115,43.143803,1,0.0837937798258291,0.0275015513258291,-0.2777668286741709,0.006285005753584,-0.0117832082464159,-0.0962823492464159,0,1.0
61,61,61,0.7589998,0.9835759,-0.51909786,-9.767462,-0.03538938,0.013718066,-0.015046962,-14.425799,19.51196,43.21588,1,0.0599808871576332,0.0035249041576332,-0.3025022758423668,-0.083241719053145,-0.101554076553145,-0.1856859125531449,0,1.0
62,62,62,0.76900005,0.9835876,-0.5191048,-9.767462,-0.036981378,0.01515142,-0.005958038,-14.363404,19.38438,43.142887,1,-0.0788041377948393,-0.1354258167948393,-0.4422086007948393,0.0355010550949683,0.0169984140949683,-0.0667918389050317,0,1.0
63,63,63,0.7789993,0.9108534,-0.5338269,-9.767768,-0.019094396,0.0074875704,0.0062551103,-14.363851,19.447989,43.142803,1,0.0616908092326812,0.0048461607326812,-0.3029398292673187,-0.0713792364212921,-0.0899133159212921,-0.1734834239212921,0,1.0
64,64,64,0.78899956,0.886251,-0.53832483,-9.767462,0.004575772,-0.00049530907,0.011728194,-14.363851,19.447989,43.142803,0,-0.0034200642053427,-0.0604293962053427,-0.3689696262053427,-0.0065885463537545,-0.0246449893537545,-0.1086915723537545,0,1.0
65,65,65,0.7989998,0.886203,-0.53833365,-9.767462,0.029730491,-0.0035092274,0.018904366,-14.426437,19.448435,43.141724,1,0.0848776395930228,0.0277079775930228,-0.2815908524069771,0.0675708268403926,0.0499989118403926,-0.0345329351596073,1,1.0
66,66,66,0.809,0.86733454,-0.51970565,-9.738683,0.055401333,-0.006646356,0.024197955,-14.363851,19.447989,43.142803,1,-0.0828732914580714,-0.1367051164580714,-0.4361084764580714,-0.01617311917455,-0.02159287117455,-0.08450612317455,0,1.0
67,67,67,0.8189993,0.84728813,-0.49991462,-9.708739,0.059862565,-0.009169127,0.022812601,-14.364297,19.511597,43.14272,1,-0.0225489121251686,-0.0764287931251686,-0.3763979631251686,-0.0511376492948287,-0.0564080372948287,-0.1192233342948287,0,1.0
68,68,68,0.8289995,0.847249,-0.49987596,-9.708681,0.052259732,-0.0059929243,0.01831794,-14.364297,19.511597,43.14272,0,0.1324245647853185,0.0784976527853185,-0.2220362472146814,0.1523314052585425,0.1471409962585425,0.0844623582585425,0,1.0
69,69,69,0.83899975,0.8472489,-0.4998759,-9.708681,0.022245485,-0.002618909,0.009996895,-14.426884,19.512043,43.14164,1,0.004570926453982,-0.0494180315460179,-0.3507027575460179,0.1851477087474295,0.1799867097474295,0.1175230787474295,0,1.0
70,70,70,0.849,0.94425815,-0.49988055,-9.786755,-0.005423627,0.0032703762,0.00010313978,-14.364743,19.575205,43.142635,1,-0.2673154659677706,-0.3213523019677706,-0.6231986219677705,0.0141712504429038,0.0086710864429038,-0.0536658125570961,0,1.0
71,71,71,0.85899925,0.944633,-0.4998759,-9.787055,-0.029352011,0.0071342476,-0.009381654,-14.302349,19.447626,43.069637,1,-0.1551575959606528,-0.2092455799606528,-0.5116523399606528,0.1499568373309568,0.1440946073309568,0.0818741603309568,0,1.0
72,72,72,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.302349,19.447626,43.069637,0,0.13408864970885,0.07996482370885,-0.2228150362911499,0.0105733403021395,0.0044912153021395,-0.0576615956978604,0,1.0
73,73,73,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.3008175,19.383934,43.14397,1,-0.2178779375224413,-0.2720017635224413,-0.5747816235224413,-0.0710955198826671,-0.0771776448826671,-0.1393304558826671,0,0.0
74,74,74,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.363851,19.447989,43.142803,1,-0.2532506640800586,-0.3073744900800585,-0.6101543500800586,0.0986310115304288,0.0925488865304288,0.0303960755304288,0,0.0
75,75,75,0.86399937,0.9446337,-0.4998759,-9.787055,-0.042853713,0.0067141238,-0.012478872,-14.362766,19.447905,43.217045,1,-0.1632437767548512,-0.2173676027548512,-0.5201474627548512,0.0591148896975751,0.0530327646975751,-0.0091200463024248,0,0.0
